Title,Company,City,State,Description,Skills,Experience,Job URL
Server Engineer,Kirra Services,Canberra,ACT,UPLOAD COVER LETTER PDF,"C, R",,https://au.jora.com/job/Server-Engineer-1a4a67949b1e6ab9be6af41f34be26e6
Network Security Administrator,Fujitsu,Canberra,ACT,"Maintain security perimeter defense of network Gateway environments
Perform root cause analysis on network/computer issues, troubleshoot effectively
NV1 or NV2 security clearance, 24x7 shift roster required","C, R",,https://au.jora.com/job/Security-Administrator-b1ec6d11fa68f086f2237a95e255fc2a
Office All-Rounder / Sales & Admin Assistant (Full-Time),GCB Doors and Windows,Springwood,QLD,"Support sales process, handle admin tasks, and coordinate orders
Communicate with customers, suppliers, and update project progress
Tech-savvy, detail-oriented, and value great customer service","C, R",,https://au.jora.com/job/Office-All-Rounder-82f9b588eb66a19b067aea324790c60d
System Engineer,Akkodis,Brisbane,QLD,"Minimum 4 years experience in SCCM, Intune, M365 support
Expertise in SOE implementation, MDM/MAM, ASD Essential 8 controls
Work in ITIL aligned service management team, Agile project delivery","Agile, C, ITIL, R",4,https://au.jora.com/job/System-Engineer-326fa32994bbf3d26adf864e5f87aa41
IT Support,Harvey Norman,Stapylton,QLD,"Deploy tech stack & configure systems to meet security standards
Manage IT security systems, perform routine maintenance & updates
Experience with Microsoft 365, IT security, RMM, CRM systems","C, R",,https://au.jora.com/job/IT-Support-1602e52d238238b42ca83ae81514d887
Senior Systems Administrator,Recruitment Hive,Canberra,ACT,"Installation, configuration, maintenance of complex IT systems
Experience with Windows Desktop environments and containerization technologies
Security management, system monitoring, troubleshooting, automation","C, R",,https://au.jora.com/job/Systems-Administrator-c1746d6e8bef3c0e5fbac320cb2595b6
Infrastructure Engineer - DBA,Advanced Personnel Management,Brisbane,QLD,"Manage APM Databases including configuration, backup, and monitoring
Experience with Microsoft SQL, Azure SQL, HA/DR technologies
Certifications: AZ-900, DP-900, DP-300 Azure Database Administrator Associate","Azure, C, R, SQL, SSO",,https://au.jora.com/job/Infrastructure-Engineer-e6c905406ad0cd7edd9a8969bb87b399
Quality Systems Coordinator (VHIMS Administrator),Peninsula Health,Victoria,,"Manage VHIMS system, support risk management database
Implement VHIMS modules, ensure VAHI Minimum Dataset compliance
Flexible, adaptable, prioritize strategic and operational requirements","C, R",,https://au.jora.com/job/Quality-Systems-Coordinator-556da9363d78fbf91e35e037836108a1
Senior Support Engineer,Transparency IT,Stirling,WA,"Provide onsite support and projects for small to mid-sized businesses
Work with Windows servers, M365, network troubleshooting, and virtualization
Seeking MSP or small business IT experience with strong interpersonal skills","C, R, Windows Server, interpersonal skills",,https://au.jora.com/job/Support-Engineer-2f26e41ae9d4df8c9192bc45c208940f
FSR Avionics Technician - ADL,L3Harris Technologies,Edinburgh,SA,"Provide technical support for Airborne Mission and Ground Support systems
Aeroskills Certificate IV in Avionics and relevant experience required
Ability to obtain and maintain Top Secret security clearance","C, R",,https://au.jora.com/job/Avionics-Technician-d7898fa449e7ea968bcc97381d8d10f2
IT CONSULTANT,PAULINE 24 PTY LTD,Beenleigh,QLD,"Provide tailored IT solutions aligned with business goals
Troubleshoot technical issues and deliver timely resolutions
Collaborate with clients, stay updated on industry trends and technologies","C, Go, R",,https://au.jora.com/job/IT-CONSULTANT-022b54ef9643c6e51b703b2cc9af1280
Server Management administration,Axiom Technologies,Sydney,NSW,"Experienced Linux & Cloud Admin for SAP systems availability
Lead troubleshooting, incident resolution, and problem management
Required: 8-12 years Linux admin experience, cloud platform expertise","C, Linux, R, SAP",12,https://au.jora.com/job/Server-Management-administration-303fec8af44a9272c9a2c329be80b1a0
Senior System Engineer (Active Directory),WiseTech Global,Sydney,NSW,"Design, implement, and administer active directory infrastructure
Manage user accounts, access control, and troubleshoot related issues
Integrate active directory with DNS, DHCP, Exchange, and provide support","Active Directory, C, R",,https://au.jora.com/job/Senior-System-Engineer-9427ea8ee8e09b9ad0f0cc8f6cfae138
IT Infrastructure Analyst - 9-month contract,Anton Murray Consulting,Sydney,NSW,"Provide IT support and service management for partners
Analytical, communication skills, project management experience needed
Bachelor's degree in IT, technical experience, ITIL, MCSE, CCNA","C, IT Support, ITIL, R, communication",,https://au.jora.com/job/IT-Infrastructure-Analyst-e7dafdc7087c38333efaa97b7091201e
Windows System Administrator,Cleared ICT,Southbank,VIC,"Support Windows systems, VMware infrastructure, and Microsoft operations
Help desk and ITIL support, troubleshooting system and network issues
Maintain Windows SOE, Active Directory, and Essential Eight compliance","Active Directory, C, Help Desk, ITIL, R, VMware",,https://au.jora.com/job/Windows-System-Administrator-8eff5214aa5fce3ad295904ef3ef31eb
Senior Systems Engineer,Sirius People,North Sydney,NSW,"Implementing and configuring ServiceNow infrastructure components
Supporting Windows server environments and disaster recovery procedures
Collaborating on technical changes, driving continuous improvement initiatives.","C, R, SAS, Windows Server, initiative",,https://au.jora.com/job/Systems-Engineer-ce771f5a1d8932e2e9e86ace1958aaa1
System Administrator,Leidos,Alice Springs,NT,"Support 24x7 operation with rotating 12-hour shifts
Australian Citizen with active TSPV Security Clearance required
Perform hardware troubleshooting, maintenance, and system upgrades","C, R",,https://au.jora.com/job/System-Administrator-3052f447b424a0e48ca5a9372f5defab
M365 Migration Engineer,Colliers,Sydney,NSW,"Specialist in Microsoft Cloud migrations & deployments
Experience with Azure, Intune, Teams Telephony, and SAAS applications
Requires Microsoft cloud certification or relevant industry experience","Azure, C, R",,https://au.jora.com/job/Migration-Engineer-7ff89132653fcc2a923c5aa01e5a398c
Midrange Engineer,Leidos,Canberra,ACT,"Experienced Midrange Engineer with server, virtualization, and database skills
Certifications in RHCSA and Microsoft Certified: Azure Administrator Associate
Australian Citizen with Baseline security clearance required","Azure, C, R, SSO",,https://au.jora.com/job/Midrange-Engineer-eb4cb0084d5463b5020fdcd68b0bf81d
Enterprise Infrastructure Officer,Hudson,Brisbane,QLD,"Lead IT infrastructure development, implementation, and support
Manage vendor relationships, oversee projects, resolve issues
Knowledge of Windows 11, security tech, SAN, virtualization required","C, R",,https://au.jora.com/job/Infrastructure-Officer-25de16eac907b1c6349f7f30ec20fefc
Database/System Administrator,face2face Recruitment,Canberra,ACT,"Manage and optimize SQL Server and Windows Server infrastructure
Develop Transact-SQL queries, PowerShell scripts, and automate processes
Experience with Microsoft Azure, API integration, and SQL performance","Azure, C, PowerShell, R, SQL, SQL Server, Shell, T-SQL, Windows Server",,https://au.jora.com/job/Database-Systems-Administrator-cd82183a828940302ce3c60811facb95
Servicenow administrator,Apprenticeship Support Australia,Melbourne,VIC,"Maintain, enhance, and optimize ServiceNow platform for critical operations
Configure modules, design workflows, troubleshoot platform issues
Experience in ITIL processes, scripting, and ServiceNow certification preferred","C, ITIL, R",,https://au.jora.com/job/ServiceNow-Administrator-a6b06a3569e46d045816a0acd6362820
System Engineer,Ascom,Brisbane,QLD,"Implement technical solutions for healthcare professionals
Provide Level 2 support, manage project tasks, maintain documentation
Tertiary qualification in System Engineering or related field required","C, R",,https://au.jora.com/job/System-Engineer-8704c5b0cd46e8eae10977e46071e697
M365 Administrator,seek.com.au,Melbourne,VIC,"Manage Microsoft 365 services and troubleshoot escalated issues
Lead integration and migration projects, monitor system performance
10+ years IT support, 3+ years M365 management, compliance expertise","C, IT Support, R, Scala",10,https://au.jora.com/job/M365-Administrator-25f5bf263216ca2b898e929836f36409
Senior Network and Security Administrator,Department of Education WA,Carine,WA,"Design, plan, and manage school's ICT network and infrastructure
Administer risk management, data security, system backup, disaster recovery
Collaborative problem solver with strong communication and management skills","C, R, SAS, communication",,https://au.jora.com/job/Network-and-Security-Administrator-6fbbb19dc96d8b455bcd24dd3b6506d0
System Administrator – Application Specialist (Pgrammer Analyst),Boeing,Brisbane,QLD,"Install, configure, maintain software applications with IT teams
Provide expert technical support to end-users, enforce security measures
Bachelor’s in IT, 5+ years' experience, Australian Citizens only","C, R",5,https://au.jora.com/job/Application-Specialist-6710f5f850f496c7455c73cba87c6c38
Senior ICT Administrator Infrastructure,Kirra Services,Australia,,Senior ICT Administrator Infrastructure,"C, R",,https://au.jora.com/job/Senior-ICT-Administrator-1d14c38bb0b595b622942a5f0d2b3ed9
GCW - M365 Administrator,Grace Worldwide,Seven Hills,NSW,"Manage Microsoft 365 services for multiple business entities
Implement security measures and ensure compliance for sensitive data
Bachelor's degree in Technology or related field preferred","C, R",,https://au.jora.com/job/GCW-M365-Administrator-508bdcc679b7ec3fdda0923b366373b8
SAS Administrator,PATH4 Group,Canberra,ACT,"Manage, maintain, and support SAS platform in large-scale organization
Collaborate with stakeholders, analyze requirements, and design solutions
Experience with SAS, Unix/Linux, Python, and 5+ years supporting SAS","C, Linux, Python, R, SAS",5,https://au.jora.com/job/SAS-Administrator-224a6c79dfa3b7924c88dd0348d5bdbb
Development Planning Services Officer (3363),Council Jobs,Ipswich,QLD,"Assist in the preparation and review of development applications
Provide advice on planning and development matters to stakeholders
Bachelor's degree in Urban Planning or related field required","C, R, SSIS",,https://au.jora.com/job/Services-Officer-969847bfcd5018650a76baf887ae555d
"SPM Tools Support, AppD and Azure Monitor Specialist",Accenture,Sydney,NSW,"Support and sustain Azure Monitor and AppDynamics applications
Monitor application health, troubleshoot issues, and enhance performance
Strong background in application support, Azure Monitor, and AppDynamics","Azure, C, R",,https://au.jora.com/job/Specialist-c1fcabb30e744cf6c16159b2fd54bad2
Systems Engineer (Multiple Positions),Kirra Services,Australian Capital,Territory,"Requires TSPV clearance and Australian Citizenship
Proficiency in system engineering principles, cloud security, and design
Experience in requirements selection, system design, and testing","C, R",,https://au.jora.com/job/Systems-Engineer-07d0cb30163c4019ebaeb5b6e21682e3
IT Operations Engineer II,Launch Recruitment - IT Recruiting,Sydney,NSW,"Contribute to technical operations of electronic payment solutions
Provide technical support, troubleshooting, and system upgrades
Experience required in Unix, networking, cloud technology, and scripting","C, Networking, R",,https://au.jora.com/job/IT-Operations-Engineer-25f13663df56950f8eea8c42e6cf86b0
Support Engineer (SYSP5),Kirra Services,Canberra,ACT,UPLOAD COVER LETTER PDF,"C, R",,https://au.jora.com/job/Support-Engineer-cf48e50b1c360fb9d3ea1a511f5e35bd
Mission IT Networks & Security Operations Technician,KBR,Canberra,ACT,"Provide technical support for secure government systems deployment
Maintain physical server and networking hardware for Defence systems
Experience with Defence ICT environments and security accreditation required","C, Go, Networking, R",,https://au.jora.com/job/Operations-Technician-48ca9c547a4977b862daf5db0cb55730
Deputy IT Lead - Administration (LINK-https://careers.pst.ag/jobs/deputy-it-lead-administration-80),PST,Saint Helena,VIC,"Lead IT infrastructure optimization for performance, security, reliability
Manage daily IT operations, team leadership, and workflow harmony
Innovate with automation, LLM management, and cross-department collaboration","C, R, collaboration, leadership",,https://au.jora.com/job/Deputy-IT-Lead-ab4be9c0855cafde92e8ef4f9ee50ed7
Level 2 Systems Engineer,Transparency IT Consulting,North Perth,WA,"Hands-on M365 security work with real business impact
Manage M365 security, Exchange Online, and SharePoint systems
Automate processes using PowerShell and NCentral RMM","C, PowerShell, R, Shell",,https://au.jora.com/job/Level-2-Systems-Engineer-94cbd45d1cf104d19b4b0ae03bbeca78
Linux Systems Administrator,Symbiote,Melbourne,VIC,"Lead installation, configuration, and maintenance of computer operating systems
Develop and document clean infrastructure code, provide technical support
Experience with Linux, IaC solutions, Git, AWS, and security","AWS, C, Git, Linux, R",,https://au.jora.com/job/Linux-Systems-Administrator-a97b1202d5cfb9b6998b4a41ebd247a3
Infrastructure Engineer,Randstad,Sydney CBD,NSW,"Provide advanced troubleshooting and support for server infrastructure
Experience in L3 infrastructure roles, financial markets preferred
Extensive experience with Active Directory, Windows server, and Citrix","Active Directory, C, R, Windows Server",,https://au.jora.com/job/Infrastructure-Engineer-606d6cb5e1c934ce68c75f387b8b31ca
Computer Network And Systems Engineer,LUCAS Restaurants,Melbourne,VIC,"Hands-on support for end-user devices and network infrastructure
Experience in IT Managed Service Provider or similar environment
Proficiency in Microsoft certifications, Azure AD, and network troubleshooting","Azure, C, R",,https://au.jora.com/job/Computer-Network-and-Systems-Engineer-a4551d55f33c014d22eadf38c8f71999
Incident Management Engineer,VIA+ Design,Melbourne,VIC,"Monitor and maintain network health for high-level service availability
Troubleshoot and provide Tier 2 support in SaaS environment
Collaborate with R&D teams, work under pressure, and script","C, R",,https://au.jora.com/job/Management-Engineer-57c3cbfd7bdd3b18a1e03a61d6a267f1
IT Wintel Engineer,Kirra Services,Adelaide,SA,"Minimum 3 years experience in Wintel administration and support
Proficiency in Microsoft Server, SCCM, Active Directory, and PowerShell
Preferably holds Microsoft certifications and IT-related tertiary studies","Active Directory, C, PowerShell, R, Shell",3,https://au.jora.com/job/Wintel-Engineer-c624f19371af1d31bc42a0b1c9e156d0
FTE_ Desktop support engineer_ Brisbane,EIL Global IT Solutions and Services Pvt Ltd,Brisbane,QLD,"Provide top-notch desktop support services for end users
Troubleshoot hardware/software issues, manage active directory operations
Manage network connectivity, collaborate with IT for security","Active Directory, C, Desktop Support, R",,https://au.jora.com/job/Desktop-Support-Engineer-24cfbba836c4a779f1926feacbb9b040
Identity and Access Management Engineer,Bentley Systems,Sydney CBD,NSW,"Provide technical support for IAM systems including user provisioning
Collaborate with IT professionals and external partners for issue resolution
Bachelor’s degree in Computer Science or related field required","C, R",,https://au.jora.com/job/Identity-and-Access-Management-Engineer-83ec41e199c8be950f16d0be9e47b1ee
M365 Engineer,Meli,Geelong,VIC,"Enhance collaboration and productivity with Microsoft 365 expertise
Manage key tools like Intune, Teams, and SharePoint Online
Support secure access, identity management, and system provisioning","C, R, collaboration",,https://au.jora.com/job/M365-Engineer-1f46d7f11943fcc526709dcc969e940a
Application Packager,Datacom,Melbourne,VIC,"Software packaging from discovery to deployment support
Participate in project planning and delivery sessions
Provide guidance, mentoring, and technical support to team","C, R",,https://au.jora.com/job/Application-Packager-27ad4744a02b2c884c3ab527cc865674
Microsoft 365 Engineer,Randstad,Sydney,NSW,"Manage M365 cloud and on prem services for organization
Provide end-user support, troubleshooting, and training on service features
Require 5+ years IT experience, Microsoft Cloud ecosystem knowledge","C, R",5,https://au.jora.com/job/Microsoft-365-Engineer-19550c46c21a6ca4d53ec3e6d3738ec5
Senior Project Manager,Hays Recruitment,Melbourne,VIC,"Manage large scale IT projects with DevOps and Agile
Establish project management practices and artefacts, manage risks
Experience in waterfall, agile, and hybrid approaches, DevOps skills","Agile, C, DevOps, R",,https://au.jora.com/job/Project-Manager-882eef81595e185124d09efeae7296e9
IT Project Manager,Otic Group,Melbourne,VIC,"Minimum 5 years experience in IT project management
Experience in various IT project types and methodologies
Required certifications such as PMP, PRINCE2, AgilePM, etc.","Agile, C, R",5,https://au.jora.com/job/IT-Project-Manager-2995234c073532de49d6c0a00faa6034
Project Manager - IT Consulting,NRI Australia & New Zealand,Brisbane,QLD,"Lead client-facing IT projects for business transformation
Manage project scopes, timelines, resources, and client relationships
3-5 years IT project management experience; Agile/Waterfall knowledge","Agile, C, R",5,https://au.jora.com/job/Project-Manager-IT-cfa1e58ae0eef92a34d4c6f991f9ed9b
IT Project Manager,Taronga Zoo,Sydney,NSW,"Lead and oversee complex IT projects from development to completion
Manage project scope, risks, costs, and stakeholder relationships
Certifications: Prince2, Agile or equivalent; stakeholder management","Agile, C, R",,https://au.jora.com/job/IT-Project-Manager-457c7d3b5d0482781b7077d7056270b7
Project Manager,Hays Recruitment,Sydney,NSW,"Manage risk and compliance initiatives in global financial services organization
Specialize in GRC implementations with ReadiNow GRC Platform experience
Engage in stakeholder management and enhance policies and frameworks","C, R, initiative",,https://au.jora.com/job/Project-Manager-3e99c7fa551735173150eb635258e6c9
Sr Principal Professional Services Project Manager,Aspentech Pte. Ltd.,Sydney,NSW,"Lead and deliver customer projects within Australia and New Zealand
Manage multiple projects simultaneously with $5-10M portfolio
Bachelor’s degree with 8+ years project management experience required","C, R",8,https://au.jora.com/job/Services-Project-Manager-162e150bfb6c34c0647cae49d33605f3
ICT PROJECT MANAGER,ACE EDUCATION Consultant Pty Ltd T/a Ace Associate,East Perth,WA,"Lead end-to-end ICT projects within scope, time, and budget
Manage stakeholder relationships and mitigate project risks effectively
Bachelor’s degree in IT, project management certification preferred","C, R",,https://au.jora.com/job/ICT-PROJECT-MANAGER-972c9d2547737fb9c5925f2bcb5d5507
Senior Project Manager,Toll Group,Sydney,NSW,"Lead medium to large change projects/programs in IT
Specialize in automation and WMS solutions in logistics
PRINCE2/PMP certification and IT project management experience required","C, R",,https://au.jora.com/job/Project-Manager-7c7f5155f119f4a523f1f9ad6880d9b2
IT Project Manager (724847),Department of Treasury & Finance TAS,Hobart,TAS,"Manage end-to-end delivery of IT projects for Treasury
Lead project teams, stakeholder management, and change management
Fixed-term role for 2 years with flexible work arrangements","C, R",2,https://au.jora.com/job/IT-Project-Manager-d1c6c582830abf32a2377f3da264a005
Senior Project Manager,TheDriveGroup,Sydney,NSW,"Lead end-to-end cloud migration project for global brand
Manage complex programs with multiple delivery systems and stakeholders
Strong communication, risk management, and Azure platform experience required","Azure, C, R, communication",,https://au.jora.com/job/Project-Manager-21f288d827be8c7b7e3f74c70f501c2f
Project Manager,Launch Recruitment,Melbourne,VIC,"Lead end-to-end project delivery for telecommunications transformation program
Collaborate with stakeholders, drive program activities, ensure alignment.
Telecom project exp, cert, stakeholder engagement, travel","C, R, communication",,https://au.jora.com/job/Project-Manager-22745253648b0684af0dc68fe78eb688
Junior Project Manager,Deputy,Sydney,NSW,"Support cross-functional strategic initiatives and product launches
Experience with Smartsheet, Jira, and new product development processes
1-3 years project management experience; Bachelor's degree preferred","C, R, initiative",3,https://au.jora.com/job/Project-Manager-dd333aa0ed028fdf395a36f9abbb318e
IT Senior Project Manager - Applications,Toll Group,Melbourne,VIC,"Manage full lifecycle of business and technology projects
Bachelor’s or master’s degree in computer science required
Experience in Agile, Waterfall project methodologies, and SDLC processes","Agile, C, R",,https://au.jora.com/job/IT-Senior-Project-cf71ef8ae1232fa56a1be7a5ce7ee00a
Senior Infrastructure Project Manager,Anglicare Sydney,Macquarie Park,NSW,"Lead ICT infrastructure projects across multiple locations
Coordinate stakeholders, vendors, and resource management efficiently
Ensure project quality, risk management, and documentation compliance","C, R",,https://au.jora.com/job/Infrastructure-Project-Manager-216ccc6faa99ca91a5ade5ef5b9492a1
IT Project Manager,FinXL IT Professional Services,Melbourne,VIC,"Lead and manage IT projects using Agile and Waterfall methodologies
Collaborate with stakeholders and vendors for project success
5-10 years' experience in IT project management, SAP experience preferred","Agile, C, R, SAP",10,https://au.jora.com/job/IT-Project-Manager-8b25d937b1424549232ce1719dc53433
Project Manager / Scrum Master,Kirra Services,Canberra,ACT,Project Manager / Scrum Master,"C, R, Scrum",,https://au.jora.com/job/Project-Manager-5406ccb70d27def155add57e6ee04430
Senior ICT Project Manager/s,Cathara Consulting,Perth,WA,"Minimum 5 years experience as Senior Project Manager
Expertise in ICT sector with strong leadership and planning skills
Ability to manage stakeholder relationships and deliver projects successfully","C, R, leadership",5,https://au.jora.com/job/Senior-ICT-Project-afc57234d5a07e36db5e12e5ed5b1b62
Project Manager,TRS Resourcing,Keysborough,VIC,Skip to content Project Manager POWERED BY,"C, R",,https://au.jora.com/job/Project-Manager-198e031be7d0db4ce6257e3caa2cf691
IT Project Manager,Talent Corp,Canberra,ACT,"Lead IT projects from inception to completion with precision
Manage project resources, budget, and adherence to quality standards
Experience in government IT projects, ITIL, cybersecurity knowledge required","C, Go, ITIL, R",,https://au.jora.com/job/IT-Project-Manager-361c29fccae0df9e787598897260ee30
Project Manager,TechnologyOne,South,Australia,"Leading projects to deliver TechnologyOne's global SaaS ERP solution
Working with leading corporations, government agencies, and universities
Over 36 years of experience in providing evolving enterprise software","C, Go, R",36,https://au.jora.com/job/Project-Manager-db7e12468c7f758b85dfd791ba549f38
Project Manager,Emmbr,Melbourne,VIC,"Lead end-to-end delivery of IT projects aligning with goals
Manage project schedules, budgets, resources, risks, and stakeholders
3-7 years IT project management experience, SDLC, Agile/Waterfall","Agile, C, Go, R",7,https://au.jora.com/job/Project-Manager-7055ce23f2d7a8bb680059a1c33a2b9f
Project Manager,FinXL IT Professional Services,Brisbane,QLD,"Manage enterprise tech projects with strong PM skills
Coordinate stakeholders, budget, and regulatory compliance
Proven experience in IT project lifecycles, Agile/Waterfall methodologies","Agile, C, R",,https://au.jora.com/job/Project-Manager-f98d0030d8d91890bc9a52693bd4adf1
Senior Project Manager (6 months) - Infrastructure Projects,MPAU Technology,Docklands,VIC,"Lead infrastructure and platform upgrade projects like SAN, VMware
Collaborate with technical teams, manage delivery partners and stakeholders
6+ years project management experience, focus on VMware, SAN projects","C, R, VMware",6,https://au.jora.com/job/Project-Manager-6a68167b9966cae612cef8e118002882
Project Manager IT,NSW Trustee and Guardian,Sydney CBD,NSW,"Lead IT projects from initiation to completion
Develop and maintain project documentation, manage stakeholders effectively
Extensive experience in IT project management, stakeholder engagement skills","C, R",,https://au.jora.com/job/Project-Manager-IT-dca6be9275a20169f555bb2847b99a6b
Cutover/Release Manager IT,Randstad,Melbourne,VIC,"Accountable for planning and delivering cutover and release activities
Build project plan, manage risks, resources, stakeholders, and vendors
Highly experienced in managing cutover on large IT projects","C, R",,https://au.jora.com/job/Release-Manager-31fc7abb2f8d3c2835f3019d5abf4c78
Non IT Project Manager,Whizdom,Canberra,ACT,"Lead project team in delivering security upgrade projects
Manage project scope, risks, and stakeholder expectations effectively
Coordinate project documentation, costs, and quality assurance requirements","C, R",,https://au.jora.com/job/Non-IT-Project-0a0514357e5b9ec6fd29fe8bb4e4360c
Associate Project Manager,FinXL IT Professional Services,Sydney CBD,NSW,"Bachelor's degree in IT, Computer Science, or related field required
1-2 years experience in IT Project Management or similar role
Opportunities for career growth, exposure to cutting-edge tech projects","C, R",2,https://au.jora.com/job/Associate-Project-Manager-8575a27e86ecc720c312c0f5583ed8bc
Project Manager (Financial Services),Aurec Group,Melbourne,VIC,"Lead critical projects aligning with organizational objectives and timelines
Oversee financial control, budgeting, cost tracking, resource allocation
Interact with executives and Board members effectively.","C, R",,https://au.jora.com/job/Project-Manager-89f36b12729357a99fad2ab6cc600585
Project Manager - Onboarding,MPAU Technology,Sydney,NSW,"Develop and implement project plans for onboarding process
Manage stakeholder expectations and project budget efficiently
Financial industry experience, project management qualifications required.","C, R",,https://au.jora.com/job/Project-Manager-61073f559906e2868fe36269f68299f7
Project Manager IT,NSW Trustee and Guardian,Sydney,NSW,"Manage and implement IT projects to improve service delivery
Develop and maintain project documents, conduct research and analysis
Provide advice to stakeholders, contribute to project management methodologies","C, R",,https://au.jora.com/job/Project-Manager-IT-b90ebe16e7d97f5fa5b0822be25302d8
Project Manager - Metering Project,Aurec Group,Melbourne,VIC,"Lead critical Metering Data Update Project for utilities sector
Ensure data integrity, regulatory alignment, and stakeholder collaboration
12-month contract, hybrid work, utilities industry experience","C, R, collaboration",,https://au.jora.com/job/Project-Manager-d3df7f89ecfe315a2c701704419dac35
Project Manager,Robert Walters,Melbourne,VIC,"Lead integration of marketing platforms, operations processes, and policies
Experience in business and operations system integrations post-M&A
Strong change management skills in fast-paced, matrix environment","C, R",,https://au.jora.com/job/Project-Manager-6564fc66eb00f31cdd1884fe34bc45b1
Senior Project Manager (6 months) - Infrastructure Projects,Michael Page,Docklands,VIC,"Manage infrastructure and platform upgrade projects concurrently
Collaborate with internal teams and delivery partners effectively
Require 6+ years project management experience in IT sector","C, R",6,https://au.jora.com/job/Project-Manager-3fcb2462a267a18e598270ab2b552edd
IT Project Manager,Catholic Education Office Diocese of Bathurst,Bathurst,NSW,"Lead IT projects aligning with Diocese's strategic goals
Minimum 3 years experience in IT project management required
IT skills, project management knowledge, stakeholder communication","C, Go, R, communication",3,https://au.jora.com/job/IT-Project-Manager-ac66ce233a424720046d86db2fb3a9d5
Project Manager,DWS,Sydney,NSW,"Experienced in enterprise governance, scheduling, and PMO functions
Expert in IT integration, migration, cloud, security
Ability to manage C-level stakeholders, vendors, and work independently","C, Go, R",,https://au.jora.com/job/Project-Manager-bddb0a1a12d7cc612fe03154c7079ac8
Project Manager,Better Staff,Bella Vista,NSW,"Lead and execute hardware and software projects from inception to completion
Manage senior stakeholders, project timelines, and financials effectively
Lead cross-functional teams, mentor juniors, and communicate effectively","C, R",,https://au.jora.com/job/Project-Manager-d9a69cc5ad43a172ce1ea9140e05fd58
Senior Project Manager,Talent International,Melbourne,VIC,"Lead operational support and mid-large software projects
Manage project financials, risks, and stakeholder engagement plans
10-15 years ICT Project Manager experience, SAFe, Azure DevOps","Azure, C, DevOps, R",15,https://au.jora.com/job/Project-Manager-61471b821107d1119b8b4961a5cb0dae
Senior Consultant - Transformation Advisory,NRI Australia & New Zealand,Adelaide,SA,"Lead end-to-end project lifecycles, ensuring successful execution
Collaborate with clients, conduct analysis, and manage cross-functional teams
Bachelor’s degree, 3-5 years consulting experience, project management tools","C, R",5,https://au.jora.com/job/Consultant-c1c1ac7a7849aeef61c81cc9aa266ede
ServiceNow Project Manager,AC3,Sydney,NSW,"Lead medium to large ServiceNow and IT Infrastructure projects
5+ years' experience in SaaS, Cloud solutions, ServiceNow projects
Industry certification in Project Management Methods required","C, R",5,https://au.jora.com/job/Project-Manager-24fec009078470bed130a94dc2a35a35
Program Delivery Lead - IT Infrastructure,Talent International,Perth,WA,"Lead and manage Critical and Operational Communications Infrastructure Programs
Develop relationships with strategic suppliers and internal stakeholders
Minimum 5 years team leadership experience in Engineering and Technology","C, R, communication, leadership",5,https://au.jora.com/job/Delivery-Lead-df070d29816ae661647dbaf8a01391d8
Project Manager - Project Delivery - Multiple Projects - Fed Govt!,Hitech Asia Pacific,Melbourne,VIC,"Lead critical ICT projects with organisational-wide impact
Experience in Agile project delivery and stakeholder engagement required
Initial 12-month contract with potential extensions in Federal agency","Agile, C, R",,https://au.jora.com/job/Project-Manager-536bc3bdadfd5d3596a4a62472dc9fc1
Technical Project Manager,Redwolf Rosch Pty Ltd,Melbourne,VIC,"Lead strategic SQL to PostgreSQL migration in financial technology sector
Manage hybrid delivery teams, stakeholder engagement, and program roadmap
Experience with SQL Server, PostgreSQL, and agile delivery environments","Agile, C, PostgreSQL, R, SQL, SQL Server",,https://au.jora.com/job/Technical-Project-Manager-cb95526bf09902b160f79e42f9ab6695
Senior Staff Services Project Manager,GE Vernova - Digital Grid,Australian Capital,Territory,"Lead complex software projects in APAC region for GE Digital Grid
Manage project budget, timeline, risks, and stakeholder communication
Bachelor's degree in Computer Science or Engineering with 15+ years experience","C, Git, R, communication",15,https://au.jora.com/job/Services-Project-Manager-fb28ed62bbd7ae692826498e17111263
Project Manager - Contact Center,4impact,Brisbane,QLD,"Lead critical transformation initiative for enterprise client
Experience in vendor management, stakeholder engagement, and cloud technologies
Specialize in Agent Workspace technologies and customer engagement platforms","C, R, initiative",,https://au.jora.com/job/Project-Manager-406e8167cf59048779231adbad89d9f9
Senior Project Manager - Data Centre Migration & Digital,Lanson Partners,Newcastle,NSW,"Lead data centre migrations & digital projects for fintech
Manage project lifecycle, RAID logs, budgets, and milestones
Experience in regulated firms, stakeholder and risk management.","C, Git, R",,https://au.jora.com/job/Project-Manager-a25b1db6551ae8ef4deb43854a2226f7
Senior IT Project Consultant,Kaliba,Sydney CBD,NSW,"Lead end-to-end IT project delivery within scope, timeline, budget
Collaborate with clients, internal teams; oversee resource planning, risk
5+ years IT project delivery experience; technical certifications required","C, R",5,https://au.jora.com/job/Project-Consultant-7657751b50d22af75d806ba542cc1ece
Project Manager - Hybrid Cloud - M365/ Azure - Digital Strategy - Fed Govt!,Hitech Asia Pacific,Australian Capital,Territory,"Manage complex ICT projects within digital and cyber transformation program
Lead hybrid-cloud, M365, Azure, and network modernisation projects
Experience in federal government infrastructure and secure networking","Azure, C, Git, Go, Networking, R",,https://au.jora.com/job/Project-Manager-278f8b5e63a863a145ad03b0b59e6278
